station_code,station_name,ProvinceZH,CityZH,Lon,Lat,对照点,Fenwei,Province,CityEN,designation,YRD,PRD,keyregion,GADM_ID_2,CityID,CityGADM,NAME_2,keyregion2018
2343A,老干部活动中心,江西,景德镇,117.2111,29.2958,N,FALSE,Jiangxi,Jingdezhen,none,FALSE,FALSE,none,179,220,179,Jingdezhen,
2342A,王岗中学,江西,景德镇,117.3097,29.3864,Y,FALSE,Jiangxi,Jingdezhen,none,FALSE,FALSE,none,179,220,179,Jingdezhen,
2341A,宁德市监测站,福建,宁德,119.5392,26.6611,N,FALSE,Fujian,Ningde,none,FALSE,FALSE,none,23,66,23,Ningde,
2340A,蕉城区农机局(20190319停运),福建,宁德,119.5202,26.6607,Y,FALSE,Fujian,Ningde,none,FALSE,FALSE,none,23,66,23,Ningde,
2339A,金涵水库(对照点),福建,宁德,119.5001,26.6946,Y,FALSE,Fujian,Ningde,none,FALSE,FALSE,none,23,66,23,Ningde,
2348A,中医院,江西,萍乡,113.8381,27.6428,N,FALSE,Jiangxi,Pingxiang,none,FALSE,FALSE,none,182,342,182,Pingxiang,
2360A,体育馆,江西,鹰潭,117.0222,28.2264,N,FALSE,Jiangxi,Yingtan,none,FALSE,FALSE,none,186,352,186,Yingtan,
2361A,三川水表,江西,鹰潭,116.9983,28.2169,N,FALSE,Jiangxi,Yingtan,none,FALSE,FALSE,none,186,352,186,Yingtan,
2362A,通天岩,江西,赣州,114.9064,25.9118,Y,FALSE,Jiangxi,Ganzhou,none,FALSE,FALSE,none,177,323,177,Ganzhou,
2383A,凤凰光学,江西,上饶,117.9519,28.4628,N,FALSE,Jiangxi,Shangrao,none,FALSE,FALSE,none,183,28,183,Shangrao,
2382A,市监测站,江西,上饶,117.973,28.4459,N,FALSE,Jiangxi,Shangrao,none,FALSE,FALSE,none,183,28,183,Shangrao,
2381A,百草园(对照点),江西,上饶,118.0058,28.4569,Y,FALSE,Jiangxi,Shangrao,none,FALSE,FALSE,none,183,28,183,Shangrao,
2380A,医学分院,江西,抚州,116.385,27.9647,N,FALSE,Jiangxi,Fuzhou,none,FALSE,FALSE,none,176,218,176,Fuzhou,
2379A,采茶剧团,江西,抚州,116.3574,28.0005,N,FALSE,Jiangxi,Fuzhou,none,FALSE,FALSE,none,176,218,176,Fuzhou,
2378A,血防站,江西,抚州,116.3598,27.9639,N,FALSE,Jiangxi,Fuzhou,none,FALSE,FALSE,none,176,218,176,Fuzhou,
2377A,市站,江西,抚州,116.3553,27.9883,N,FALSE,Jiangxi,Fuzhou,none,FALSE,FALSE,none,176,218,176,Fuzhou,
